Blue Eaten,EarlyBird,Orange Eaten,Score,Seed,Vegan,VegetarianBlue,VegetarianOrange,Win/Lose
0,0,1,-21.0,0,1,0,1,lose
0,0,1,-88.0,0,1,0,1,lose
1,0,0,1127.0,0,1,1,0,win
0,0,1,-106.0,0,1,0,1,lose
1,0,0,1101.0,0,1,1,0,win
0,0,1,1170.0,0,1,0,1,win
0,0,1,1136.0,0,1,0,1,win
1,0,0,1154.0,0,1,1,0,win
1,0,0,1162.0,0,1,1,0,win
0,0,1,1124.0,0,1,0,1,win
0,0,1,1142.0,0,1,0,1,win
0,0,1,-209.0,0,1,0,1,lose
0,0,1,1144.0,0,1,0,1,win
1,0,1,1263.0,0,2,1,1,win
0,0,1,1158.0,0,1,0,1,win
1,0,0,1129.0,0,1,1,0,win
1,0,1,1253.0,0,2,1,1,win
0,0,1,1151.0,0,1,0,1,win
0,0,1,1124.0,0,1,0,1,win
0,0,1,1145.0,0,1,0,1,win
1,0,0,1122.0,0,1,1,0,win
1,0,0,1162.0,0,1,1,0,win
1,0,1,1347.0,0,2,1,1,win
1,0,0,1153.0,0,1,1,0,win
1,0,0,-53.0,0,1,1,0,lose
1,0,0,-174.0,0,1,1,0,lose
1,0,0,1054.0,0,1,1,0,win
1,0,0,1137.0,0,1,1,0,win
0,0,1,1117.0,0,1,0,1,win
1,0,0,95.0,0,1,1,0,lose
1,0,0,1127.0,0,1,1,0,win
0,0,1,1141.0,0,1,0,1,win
0,0,1,1075.0,0,1,0,1,win
0,0,1,-163.0,0,1,0,1,lose
1,0,0,1135.0,0,1,1,0,win
1,0,0,1145.0,0,1,1,0,win
1,0,0,1108.0,0,1,1,0,win
1,0,0,14.0,0,1,1,0,lose
0,0,1,1156.0,0,1,0,1,win
1,0,0,1116.0,0,1,1,0,win
0,0,1,1142.0,0,1,0,1,win
1,0,0,1154.0,0,1,1,0,win
0,0,1,1138.0,0,1,0,1,win
0,0,1,-66.0,0,1,0,1,lose
1,0,0,1058.0,0,1,1,0,win
0,0,1,1100.0,0,1,0,1,win
1,0,0,1014.0,0,1,1,0,win
0,0,1,1086.0,0,1,0,1,win
0,0,1,1149.0,0,1,0,1,win
1,0,0,1001.0,0,1,1,0,win
1,0,0,1136.0,0,1,1,0,win
1,0,0,17.0,0,1,1,0,lose
0,0,1,1162.0,0,1,0,1,win
1,0,0,1150.0,0,1,1,0,win
0,0,1,1162.0,0,1,0,1,win
0,0,1,1163.0,0,1,0,1,win
