Blue Eaten,CTD,EarlyBird,Orange Eaten,Penalty1(total),Score,Seed,Vegan,VegetarianBlue,VegetarianOrange,Win/Lose
1,0,0,0,1,1098.0,0,1,1,0,win
1,0,0,0,1,1107.0,0,1,1,0,win
1,0,0,0,1,1132.0,0,1,1,0,win
1,0,0,0,1,1141.0,0,1,1,0,win
1,0,0,0,1,1124.0,0,1,1,0,win
1,0,0,0,1,1139.0,0,1,1,0,win
1,0,0,0,1,1137.0,0,1,1,0,win
0,0,0,1,1,1163.0,0,1,0,1,win
1,0,0,0,1,1122.0,0,1,1,0,win
0,0,0,1,1,1142.0,0,1,0,1,win
0,0,0,1,1,1046.0,0,1,0,1,win
1,0,0,0,1,1154.0,0,1,1,0,win
1,0,0,0,1,1153.0,0,1,1,0,win
1,0,0,0,1,42.0,0,1,1,0,lose
0,0,0,1,1,137.0,0,1,0,1,lose
0,0,0,1,1,1110.0,0,1,0,1,win
1,0,0,0,1,1146.0,0,1,1,0,win
1,0,0,0,1,1047.0,0,1,1,0,win
1,0,0,0,1,1135.0,0,1,1,0,win
1,0,0,1,2,1345.0,0,2,1,1,win
0,0,0,1,1,1115.0,0,1,0,1,win
0,0,0,1,1,1094.0,0,1,0,1,win
1,0,0,0,1,1121.0,0,1,1,0,win
0,0,0,1,1,1131.0,0,1,0,1,win
0,0,0,1,1,48.0,0,1,0,1,lose
1,0,0,0,1,-60.0,0,1,1,0,lose
1,0,0,0,1,1127.0,0,1,1,0,win
0,0,0,1,1,1099.0,0,1,0,1,win
0,0,1,0,0,764.0,0,0,0,0,win
0,0,0,1,1,1100.0,0,1,0,1,win
1,0,0,0,1,1125.0,0,1,1,0,win
1,0,0,1,2,1368.0,0,2,1,1,win
0,0,1,0,0,-441.0,0,0,0,0,lose
1,0,0,0,1,1108.0,0,1,1,0,win
1,0,0,0,1,38.0,0,1,1,0,lose
1,0,0,0,1,1125.0,0,1,1,0,win
0,0,0,1,1,1104.0,0,1,0,1,win
0,0,0,1,1,1049.0,0,1,0,1,win
0,0,0,1,1,1021.0,0,1,0,1,win
0,0,0,1,1,1083.0,0,1,0,1,win
1,0,1,0,1,1108.0,0,1,1,0,win
